longitude,latitude,loss_year,canopy_pct,lc_class
-51.467884635804744,-8.627048177666932,2017,97,8
-53.177309645421865,-6.344794641868973,2018,100,2
-49.006291453949736,-4.754573679889534,2009,53,9
-54.99753795821812,-1.4162000112796445,2016,100,8
-56.75309937338723,-11.976875078879695,2004,97,10
-51.519652228649484,-3.4031741289001483,2008,99,8
-56.49148583162842,-5.7042716320392355,2020,100,2
-50.007621527548714,-9.640596328526106,2020,97,2
-51.25895910968539,-3.9230129991278075,2021,100,2
-55.495572818473235,-8.148896083497336,2006,86,9
-50.84802202702247,-4.1259734863383075,2002,100,2
-52.449358916448226,-3.377494360653784,2001,94,2
-51.305646089027235,-11.581587409875787,2016,64,9
-49.67124670585435,-2.3218450290411687,2017,80,8
-49.25680670908397,-2.7772509113418162,2009,98,2
-50.10803023761221,-3.3282594559376997,2019,100,2
-59.40004806322049,-10.512584324307952,2003,99,2
-53.92623769002433,-9.715040788480485,2017,99,2
-50.53152040803602,-8.549752848438082,2001,56,9
-50.44039561640685,-3.809561669637337,2015,100,8
-58.517251974499395,-10.71514280410575,2017,100,2
-55.12362515506586,-8.621041886063125,2004,52,2
-55.00029962043803,-4.90605334573848,2017,89,2
-54.828353621383926,-11.134266945957664,2015,49,2
-50.601592006696855,-10.171857121101533,2017,89,8
-49.45457772524643,-3.576043927596645,2002,70,9
-49.97895817413613,-7.493467577290782,2002,79,9
-49.804864163646066,-2.419840700655381,2016,83,2
-57.67854916921351,-10.234983497527512,2020,98,2
-51.74642625027241,-8.702875982759458,2012,99,8
-50.705767395381386,-7.405383892329946,2017,95,2
-58.41417144950177,-3.6320168215776985,2003,64,2
-53.112934836706586,-10.733406030376539,2016,83,2
-51.72618894715059,-9.742660297893623,2006,98,2
-49.27423820521628,-7.734192124832699,2003,42,9
-50.369440995236104,-5.245475979982122,2001,59,8
-58.94545774107563,-11.096299233079502,2015,65,9
-48.19684070090519,-1.5281882465967094,2001,97,2
-55.11976115361142,-11.498443833561794,2011,100,2
-55.40385617665176,-7.113946473973177,2011,7,8
-54.698827345459584,-3.2118621346276623,2017,100,2
-49.47399727913119,-3.160064558534462,2009,100,2
-55.50836384841419,-7.705641541957885,2014,100,2
-50.62095965412382,-9.249752420759716,2020,94,8
-48.955094923018194,-2.4000951418715566,2010,99,8
-55.397938524044754,-7.173017837229921,2006,97,2
-50.14847165246817,-9.599886998676643,2017,95,2
-50.11268583387446,-5.329218518253011,2002,78,8
-59.180146016067155,-9.357188370732459,2002,59,9
-49.85194619188543,-3.264172955968219,2006,89,8
-58.9067035045949,-9.626929812383887,2019,99,2
-52.085806241247354,-8.857813037656475,2018,100,2
-55.34495085752423,-1.7955290237920492,2004,94,2
-52.02657764409021,-10.56038233874562,2023,97,2
-49.876190949338046,-11.690772208960786,2018,57,9
-50.145994837021206,-2.125965825463475,2016,99,2
-57.9815094362031,-9.803149587634968,2008,100,9
-52.67616009455851,-6.448302571749859,2023,100,2
-59.7159508988923,-6.9363316264871635,2016,100,2
-59.25932386365423,-3.45987833369532,2016,100,2
-54.87486584406189,-10.2948630520067,2002,82,8
-51.28518718442047,-6.349628729504881,2014,29,9
-55.08025825065178,-7.167849501344343,2008,100,2
-51.86682506930165,-5.716294096613637,2004,99,2
-59.12905149536246,-6.86365979895671,2017,100,2
-53.5300922282447,-1.477803828812437,2016,100,9
-56.73303465235927,-11.493454231889137,2012,98,2
-52.61676318972634,-6.44746526135781,2018,100,8
-50.88805148526134,-4.747232795759589,2010,98,2
-48.66732379448919,-2.454064541578178,2009,99,2
-59.34083294085502,-9.402849759941754,2003,100,2
-51.3612331651665,-11.731535969186305,2014,29,10
-49.13026650596862,-4.691089526888853,2018,81,9
-55.99183546664589,-1.3573687291355896,2009,100,2
-58.137305194959076,-3.3247178351788653,2023,100,2
-55.87889574406937,-4.85243556080965,2011,100,2
-53.58589499387706,-9.882638082672019,2005,100,10
-50.77374516861951,-7.989847060423993,2022,10,2
-52.07191077736155,-10.770449441092358,2019,48,9
-59.26524544670036,-3.074364576653896,2016,92,9
-59.07312245048246,-10.975730047326541,2016,100,9
-53.34787011576804,-2.6515804104283496,2023,99,2
-58.829872496327816,-9.167962907799629,2005,100,2
-56.74605912839294,-10.69592024440751,2016,90,2
-48.12914627816609,-1.2692873372159945,2019,93,8
-52.312145486283754,-3.7238657164004856,2018,99,2
-52.17304291321928,-6.199590027732367,2005,99,2
-48.285176202659585,-1.650223269481709,2013,96,2
-56.237551433755584,-9.319151896923435,2021,37,9
-48.926618776049686,-4.0896782408285235,2007,53,9
-53.958019969502445,-11.392119988877349,2007,100,2
-53.35930781400575,-6.305541820141405,2004,99,2
-58.43914892571821,-10.443988961223441,2018,98,9
-48.58952830748107,-3.1390829438124714,2017,97,10
-52.9154280322816,-1.3526096632830789,2012,98,2
-49.17554948730007,-7.397539806208887,2015,0,9
-54.95394719871438,-9.779262624899268,2015,94,8
-52.89216794950062,-2.9020720697503295,2007,99,2
-51.08666690855148,-8.480613664375507,2002,98,9
-50.87979717108212,-8.055669584797815,2003,92,9
-50.718587948488356,-4.042217988523328,2021,82,8
-59.075464432550824,-3.6614445301184335,2011,56,11
-51.32296268157949,-6.7367227753040995,2016,5,9
-57.042491547982536,-3.2838165111738165,2008,98,2
-51.63374567582728,-6.328880775409165,2001,63,9
-59.439012713474334,-2.681541627924134,2018,100,2
-52.703127308193025,-3.1420353570228228,2003,94,2
-51.89607234848378,-8.729375776376383,2017,100,2
-49.213355616991265,-10.76173781921111,2021,45,9
-57.53679020854298,-9.387208631112767,2017,63,2
-51.556778464313965,-8.488529796807734,2005,98,2
-59.9278540036956,-1.9280338296923716,2016,100,2
-48.92627492542503,-5.853959529054747,2002,33,9
-59.638078661826064,-3.6110507119059205,2014,32,10
-51.65757514820744,-10.709175001613886,2020,59,9
-49.83083490748713,-4.95356753945675,2016,98,8
-52.07110044320909,-9.735613778200314,2017,89,2
-55.54079303561905,-8.092364565146477,2015,100,2
-53.95682244309082,-10.389824382436327,2004,100,2
-53.21125368171159,-10.437822523258003,2023,100,2
-59.2568050871059,-3.4111781866465902,2013,100,8
-50.96559758754526,-3.7905850751148273,2023,100,8
-53.69526477559457,-6.256746213808442,2022,100,2
-51.606342521532504,-10.019091654695096,2004,97,10
-50.97719123912959,-9.72928465523393,2002,31,9
-52.042071598152596,-3.836411883796306,2022,99,2
-52.64870285538512,-6.3899015360046,2018,99,2
-58.9028067450477,-9.43219012807872,2022,99,2
-51.88976096286683,-10.41307757123784,2003,96,2
-50.78931510284931,-8.975873776252689,2014,88,8
-51.84827794094534,-11.917989513722548,2004,97,10
-53.365352219762364,-6.578875894636853,2014,100,2
-55.129460711678036,-6.584854301259029,2012,100,2
-59.14969737449765,-10.586027152913907,2004,99,2
-56.65003829343513,-11.132153285486593,2023,79,2
-48.77671450081657,-8.822567599129481,2001,49,9
-49.67001109747511,-2.870616858714145,2019,96,2
-54.7980485739211,-4.483416194042313,2019,100,2
-54.44972887698565,-2.599422366835977,2017,95,9
-55.88888412682355,-6.872549016791043,2018,100,2
-49.169347337003636,-5.0849493417185885,2013,77,9
-57.205147220831265,-9.775078586662092,2005,88,9
-51.13057915351103,-8.675065397289181,2004,99,2
-55.045209603531966,-10.15780809148875,2005,36,10
-50.463904718898725,-2.19537446985036,2016,98,2
-49.96603540764564,-5.665812831127918,2007,96,9
-59.906571064386036,-7.069871641184946,2005,48,9
-51.41831528322979,-10.01291529009191,2003,100,2
-49.269246748031684,-8.160620392402498,2011,66,9
-48.156954652557864,-6.709850321314451,2017,93,2
-56.55849347993334,-10.898586879130825,2014,9,9
-53.19643107279121,-3.521761105134721,2004,97,2
-51.27907349355067,-5.952901627237689,2017,97,2
-49.96816143722122,-4.118286299795177,2020,97,8
-48.969137253210484,-3.345578013572515,2023,87,2
-55.00165215210514,-7.170153704706813,2016,100,2
-49.978580197272834,-7.769891029719658,2011,31,9
-51.92569832184051,-10.035660067690339,2013,32,10
-48.245336313214615,-6.369192760623441,2019,17,9
-51.61875266451648,-9.64644368180551,2017,97,9
-55.15570351221036,-11.733807461879827,2001,26,10
-57.77494533398692,-10.057308627910288,2019,53,9
-53.72531776415273,-6.04390966523341,2015,81,2
-57.07607812665328,-9.681167030455518,2022,100,8
-48.138407788820835,-4.208660829131264,2016,100,2
-48.46596972619494,-3.399688752112821,2005,94,2
-53.38707062430437,-8.696559891469501,2007,85,2
-50.48226022839345,-3.987485833165141,2005,99,9
-54.81709285603039,-9.772274785765987,2012,73,9
-53.891635717465626,-1.4700818562883518,2015,99,2
-52.15000270313206,-9.78248667950332,2021,37,2
-54.53005970647343,-3.2014130195303596,2021,99,2
-59.04180286713696,-11.086211454216777,2002,97,2
-54.645894748800735,-2.5282651297751575,2016,87,8
-51.37221226446673,-9.0179141147818,2009,97,2
-59.0332310785636,-9.908842924628066,2002,88,10
-54.95804650002321,-10.386936605995666,2001,94,10
-50.04530536901966,-8.663523029194712,2014,17,9
